id,Name,MMR,NK Level,Donated,Role,Join Date,Collection
[18314](https://sppdreplay.net/player/18314),TACTICALATOMICPENGUIN,7182,24,24,regular,2020-07-14,12
[3056](https://sppdreplay.net/player/3056),SH0RTBUSBULLY,6940,23,24,regular,2020-10-12,12
[2107](https://sppdreplay.net/player/2107),THEPOLISHPOWERHOUSE5,7684,25,42,elder,2019-12-09,0
[13055](https://sppdreplay.net/player/13055),LUCKYBOLLO,7564,24,168,elder,2020-02-17,22
[3070](https://sppdreplay.net/player/3070),TOEKNEEKUN_,7530,25,72,regular,2020-11-23,12
[3081](https://sppdreplay.net/player/3081),ᵐʳʲƦᴏʙ,7491,24,170,elder,2020-03-31,26
[3052](https://sppdreplay.net/player/3052),BAD COLLARBONE TATTOO,7482,24,36,regular,2019-08-10,24
[102347](https://sppdreplay.net/player/102347),INTERIACTIC,7444,25,174,regular,2020-07-25,22
[3067](https://sppdreplay.net/player/3067),ᵐʳʲɴꞮƦᴠʟᴇᴀᴄʜ,7426,25,84,leader,2020-01-07,22
[3073](https://sppdreplay.net/player/3073),ᵐʳʲᴛƦᴀSʜᴘᴀɴᴅᴀ88,7313,24,90,elder,2020-04-06,12
[112566](https://sppdreplay.net/player/112566),OMARGIL 1,7300,22,30,regular,2021-02-22,21
[3077](https://sppdreplay.net/player/3077),LUMBERJAXXCAT,7227,25,168,elder,2020-02-02,12
[2089](https://sppdreplay.net/player/2089),UNDERPTAKER,7186,25,224,regular,2019-12-09,27
[3064](https://sppdreplay.net/player/3064),INSAN3DYNAMO,7177,25,72,elder,2020-09-03,12
[3060](https://sppdreplay.net/player/3060),PASABUGSABOG,7170,24,54,regular,2019-07-15,0
[3076](https://sppdreplay.net/player/3076),ZUKIC1337,7153,24,48,regular,2019-10-07,12
[2101](https://sppdreplay.net/player/2101),SKIPBREAKFAST,7110,24,144,regular,2019-12-17,15
[3051](https://sppdreplay.net/player/3051),ALEXSCH42069,7078,24,66,regular,2020-08-24,0
[3062](https://sppdreplay.net/player/3062),JIKOBAR,7076,24,132,regular,2019-09-24,12
[3049](https://sppdreplay.net/player/3049),LVWOJO_19_88,7030,23,12,regular,2020-08-10,0
[13065](https://sppdreplay.net/player/13065),HAKANCANTA007,7026,23,108,regular,2020-11-02,12
[3071](https://sppdreplay.net/player/3071),$JACKIEMOON$,6981,24,18,regular,2020-01-16,12
[3043](https://sppdreplay.net/player/3043),KINGOFLUCERNE,6962,24,54,regular,2020-11-30,0
[2583](https://sppdreplay.net/player/2583),YORKRILA,6866,23,60,regular,2020-09-30,12
[24786](https://sppdreplay.net/player/24786),NCSUDREW ON EM,6851,22,66,regular,2020-09-21,0
[9561](https://sppdreplay.net/player/9561),THEFILMROKER91,6845,22,24,regular,2020-11-02,0
[15907](https://sppdreplay.net/player/15907),PLAYERBOBBY2K,6845,22,24,regular,2020-11-02,0
[3082](https://sppdreplay.net/player/3082),ᵐʳʲKSGRO,6838,24,102,co_leader,2020-02-03,23
[55967](https://sppdreplay.net/player/55967),SPENCERIANSONIC,6794,24,66,regular,2021-03-02,12
[3075](https://sppdreplay.net/player/3075),-CROTCHROT-,6776,24,16,co_leader,2021-01-18,12
[2578](https://sppdreplay.net/player/2578),UNDERDOGNYMPH23969,6768,23,78,regular,2020-09-28,0
[3083](https://sppdreplay.net/player/3083),Gᵘᵃᵐᵘ,6735,23,42,regular,2020-06-24,12
[44101](https://sppdreplay.net/player/44101),SHARPIE323,6720,21,26,regular,2020-12-30,0
[24234](https://sppdreplay.net/player/24234),ROSHDARKO,6645,23,54,regular,2021-01-12,16
[24335](https://sppdreplay.net/player/24335),TACTICS2772,6617,22,20,regular,2021-02-16,32
[3059](https://sppdreplay.net/player/3059),JSGRO30,6616,23,30,regular,2020-09-28,12
[3080](https://sppdreplay.net/player/3080),ᴹᴿˢR3,6539,24,252,regular,2021-03-02,0
[12203](https://sppdreplay.net/player/12203),ACE_BOOGIE86,6491,21,24,regular,2021-03-01,12
[13060](https://sppdreplay.net/player/13060),SWORDLORD86,6432,22,42,regular,2020-03-02,0
[33682](https://sppdreplay.net/player/33682),DREWDWNCUZ12THMAN,6292,23,72,regular,2020-06-02,20
[105182](https://sppdreplay.net/player/105182),TAIRY+HESTICLE,6088,19,48,regular,2021-03-01,12
[162861](https://sppdreplay.net/player/162861),MRJEFFERSONRULES,746,5,0,co_leader,2021-01-15,0
